user_id,first_match_date,last_match_date,most_common_match_type,total_matches,avg_bots_per_match,avg_position_per_match,total_play_days,days_between_first_last_match
278011,2024-03-23,2024-03-23,B,3,3.0,0.5,1,0
278012,2024-04-14,2024-05-01,A,59,0.9047619047619048,2.357142857142857,11,17
278013,2024-03-18,2024-03-18,B,2,3.0,1.0,1,0
278015,2024-04-19,2024-04-19,B,2,3.0,1.0,1,0
278016,2024-03-07,2024-03-07,B,1,3.0,1.0,1,0
278021,2024-03-19,2024-03-19,A,1,3.0,1.0,1,0
278022,2024-03-22,2024-03-22,C,2,3.0,1.0,1,0
278023,2024-03-15,2024-03-15,A,5,2.0,2.6666666666666665,1,0
278025,2024-03-21,2024-03-21,B,1,3.0,1.0,1,0
278027,2024-03-17,2024-03-17,B,4,3.0,1.6666666666666667,1,0
278028,2024-04-19,2024-04-19,C,1,3.0,1.0,1,0
278029,2024-04-16,2024-04-16,C,1,3.0,1.0,1,0
278030,2024-03-11,2024-03-11,A,4,3.0,2.0,1,0
278031,2024-04-11,2024-04-16,C,62,1.1666666666666667,2.611111111111111,6,5
278032,2024-04-02,2024-04-02,C,2,3.0,2.0,1,0
278033,2024-04-16,2024-04-30,A,51,0.875,2.35,9,14
278034,2024-03-31,2024-04-09,C,7,1.75,2.5,2,9
278036,2024-03-26,2024-04-01,B,36,1.5925925925925926,2.962962962962963,6,6
278037,2024-03-08,2024-03-19,C,3,3.0,2.0,2,11
278038,2024-03-13,2024-03-13,A,1,1.0,1.0,1,0
278039,2024-03-03,2024-03-04,A,10,1.8571428571428572,2.4285714285714284,2,1
278040,2024-03-14,2024-03-27,A,12,0.8888888888888888,2.3333333333333335,4,13
278042,2024-03-24,2024-03-24,A,2,3.0,1.5,1,0
278043,2024-03-18,2024-03-18,A,5,2.0,2.6666666666666665,1,0
278044,2024-03-03,2024-03-17,C,3,3.0,1.3333333333333333,3,14
278048,2024-04-03,2024-04-26,A,226,0.9210526315789473,2.3684210526315788,15,23
278050,2024-04-17,2024-04-21,A,13,1.25,3.25,4,4
278051,2024-03-17,2024-03-17,B,4,0.6666666666666666,3.3333333333333335,1,0
278053,2024-04-03,2024-04-22,C,135,1.430232558139535,2.8488372093023258,13,19
278054,2024-03-14,2024-03-26,A,32,0.52,2.52,7,12
278055,2024-04-03,2024-04-03,C,1,3.0,1.0,1,0
278057,2024-03-19,2024-03-19,B,3,3.0,1.5,1,0
278059,2024-03-13,2024-03-25,A,31,0.6190476190476191,2.4761904761904763,8,12
278060,2024-03-04,2024-03-20,A,12,0.6,2.4,4,16
278061,2024-03-30,2024-03-30,C,8,1.8333333333333333,2.5,1,0
278062,2024-03-07,2024-04-01,A,519,0.5688622754491018,2.5209580838323356,24,25
278063,2024-03-31,2024-04-22,A,3,3.0,1.3333333333333333,2,22
278064,2024-04-15,2024-05-01,A,501,1.073446327683616,2.5141242937853105,17,16
278065,2024-03-24,2024-03-28,A,17,0.5714285714285714,2.5714285714285716,4,4
278066,2024-03-19,2024-03-19,A,6,2.2,2.2,1,0
278067,2024-03-17,2024-03-17,B,5,2.75,2.25,1,0
278068,2024-03-25,2024-03-25,C,3,3.0,1.5,1,0
278069,2024-03-12,2024-03-23,C,2,3.0,1.5,2,11
278070,2024-04-05,2024-04-06,B,6,2.0,2.25,2,1
278071,2024-03-27,2024-03-27,C,1,3.0,1.0,1,0
278073,2024-04-12,2024-04-26,A,37,0.9629629629629629,2.6666666666666665,5,14
278074,2024-03-07,2024-04-11,A,630,0.7558139534883721,2.492248062015504,35,35
278076,2024-04-12,2024-04-22,B,9,1.875,2.75,4,10
278077,2024-03-25,2024-04-16,A,17,1.3846153846153846,3.076923076923077,5,22
278078,2024-04-21,2024-04-21,A,1,3.0,1.0,1,0
278079,2024-04-06,2024-04-06,A,5,2.0,1.6666666666666667,1,0
278080,2024-03-10,2024-04-20,A,32,1.0434782608695652,2.869565217391304,10,41
