user_id,total_purchase_value_inApp,total_purchases_inApp,first_purchase_date_inApp,last_purchase_date_inApp,number_of_purchase_days_inApp,preferred_product_inApp,average_purchase_value_inApp
276414,4.99,1,2024-03-15,2024-03-15,1,Promotion,4.99
276442,34.93,7,2024-03-01,2024-04-10,6,Remove Ads,4.99
276458,19.96,4,2024-04-20,2024-05-01,4,Gold,4.99
276491,19.96,4,2024-04-13,2024-04-22,3,Gold,4.99
276521,9.98,2,2024-03-21,2024-03-22,2,Gold,4.99
276546,14.97,3,2024-03-11,2024-03-14,2,Gold,4.99
276551,9.98,2,2024-04-14,2024-04-16,2,Gold,4.99
276692,9.98,2,2024-04-16,2024-04-20,2,Promotion,4.99
276734,4.99,1,2024-03-29,2024-03-29,1,Promotion,4.99
276776,4.99,1,2024-04-04,2024-04-04,1,Promotion,4.99
276785,4.99,1,2024-03-20,2024-03-20,1,Gold,4.99
276789,4.99,1,2024-04-27,2024-04-27,1,Promotion,4.99
276842,9.98,2,2024-04-12,2024-04-14,2,Gold,4.99
276874,9.98,2,2024-04-18,2024-04-20,2,Promotion,4.99
277101,9.98,2,2024-04-09,2024-04-16,2,Remove Ads,4.99
277119,4.99,1,2024-03-10,2024-03-10,1,Gold,4.99
277129,9.98,2,2024-03-18,2024-03-18,1,Gold,4.99
277131,4.99,1,2024-04-20,2024-04-20,1,Promotion,4.99
277161,4.99,1,2024-04-21,2024-04-21,1,Remove Ads,4.99
277244,4.99,1,2024-04-07,2024-04-07,1,Promotion,4.99
277252,9.98,2,2024-03-28,2024-03-28,1,Promotion,4.99
277263,34.93,7,2024-03-26,2024-04-30,7,Remove Ads,4.99
277365,4.99,1,2024-04-11,2024-04-11,1,Gold,4.99
277380,19.96,4,2024-03-07,2024-03-14,3,Gold,4.99
277396,54.900000000000006,10,2024-03-02,2024-03-17,4,Promotion,5.49
277398,29.94,6,2024-03-02,2024-03-04,3,Gold,4.99
277425,29.94,6,2024-04-11,2024-04-30,6,Promotion,4.99
277435,4.99,1,2024-04-02,2024-04-02,1,Promotion,4.99
277453,84.87,13,2024-04-18,2024-04-30,6,Gold,6.53
277525,49.910000000000004,9,2024-03-08,2024-04-09,6,Gold,5.55
277530,9.98,2,2024-04-13,2024-04-13,1,Gold,4.99
277585,4.99,1,2024-03-04,2024-03-04,1,Promotion,4.99
277636,4.99,1,2024-03-18,2024-03-18,1,Promotion,4.99
277658,9.98,2,2024-03-19,2024-04-20,2,Gold,4.99
277659,4.99,1,2024-03-26,2024-03-26,1,Promotion,4.99
277661,19.96,4,2024-03-31,2024-04-11,4,Promotion,4.99
277671,4.99,1,2024-03-08,2024-03-08,1,Promotion,4.99
277700,9.98,2,2024-04-24,2024-04-24,1,Gold,4.99
277701,59.92,8,2024-03-26,2024-04-18,7,Promotion,7.49
277715,4.99,1,2024-04-17,2024-04-17,1,Promotion,4.99
277800,29.950000000000003,5,2024-03-02,2024-04-28,4,Gold,5.99
277867,79.91,9,2024-04-10,2024-04-23,4,Promotion,8.88
277873,124.80000000000001,20,2024-03-02,2024-04-07,12,Promotion,6.24
277875,19.96,4,2024-03-15,2024-03-18,3,Promotion,4.99
277965,4.99,1,2024-04-15,2024-04-15,1,Promotion,4.99
277969,4.99,1,2024-03-06,2024-03-06,1,Promotion,4.99
277973,4.99,1,2024-04-09,2024-04-09,1,Promotion,4.99
277991,64.93,7,2024-04-23,2024-04-30,5,Promotion,9.28
278060,24.950000000000003,5,2024-03-01,2024-05-01,5,Remove Ads,4.99
278091,79.85000000000001,15,2024-03-04,2024-03-24,8,Gold,5.32
278110,9.98,2,2024-03-08,2024-03-10,2,Gold,4.99
278294,44.910000000000004,9,2024-03-07,2024-04-26,9,Remove Ads,4.99
278300,4.99,1,2024-04-12,2024-04-12,1,Promotion,4.99
278345,4.99,1,2024-04-09,2024-04-09,1,Gold,4.99
278351,24.950000000000003,5,2024-04-15,2024-04-19,2,Gold,4.99
278376,14.97,3,2024-03-22,2024-04-11,3,Gold,4.99
278390,9.98,2,2024-03-25,2024-04-01,2,Gold,4.99
278422,4.99,1,2024-03-05,2024-03-05,1,Promotion,4.99
278476,9.98,2,2024-04-02,2024-04-23,2,Promotion,4.99
278491,4.99,1,2024-03-27,2024-03-27,1,Promotion,4.99
278501,19.96,4,2024-03-30,2024-04-06,2,Gold,4.99
278513,9.99,1,2024-04-18,2024-04-18,1,Gold,9.99
278514,9.98,2,2024-03-21,2024-04-30,2,Gold,4.99
278541,4.99,1,2024-04-09,2024-04-09,1,Gold,4.99
278610,4.99,1,2024-03-24,2024-03-24,1,Promotion,4.99
278641,9.99,1,2024-04-11,2024-04-11,1,Gold,9.99
278736,9.98,2,2024-03-23,2024-04-07,2,Gold,4.99
278753,4.99,1,2024-03-09,2024-03-09,1,Promotion,4.99
278770,4.99,1,2024-03-29,2024-03-29,1,Gold,4.99
278774,34.93,7,2024-03-13,2024-04-30,7,Promotion,4.99
278790,14.97,3,2024-04-14,2024-04-27,3,Promotion,4.99
278803,4.99,1,2024-03-08,2024-03-08,1,Promotion,4.99
278821,4.99,1,2024-04-23,2024-04-23,1,Promotion,4.99
278879,9.98,2,2024-04-17,2024-04-18,2,Promotion,4.99
278895,9.98,2,2024-03-06,2024-03-10,2,Gold,4.99
278907,4.99,1,2024-03-19,2024-03-19,1,Gold,4.99
278922,9.98,5,2024-04-12,2024-04-25,4,Remove Ads,2.0
278932,4.99,1,2024-04-07,2024-04-07,1,Promotion,4.99
278937,39.92,8,2024-03-21,2024-04-21,4,Gold,4.99
278964,9.98,2,2024-03-08,2024-03-09,2,Gold,4.99
279062,19.96,4,2024-03-05,2024-03-23,4,Gold,4.99
279111,9.98,2,2024-03-21,2024-04-19,2,Promotion,4.99
279115,4.99,1,2024-04-13,2024-04-13,1,Promotion,4.99
279156,4.99,1,2024-03-24,2024-03-24,1,Promotion,4.99
279173,14.97,3,2024-03-06,2024-03-20,3,Remove Ads,4.99
279175,4.99,1,2024-03-30,2024-03-30,1,Gold,4.99
279199,1240.72,128,2024-03-01,2024-04-28,30,Gold,9.69
279248,4.99,1,2024-04-08,2024-04-08,1,Promotion,4.99
279253,4.99,1,2024-04-19,2024-04-19,1,Promotion,4.99
279309,9.98,2,2024-04-21,2024-04-21,1,Gold,4.99
279328,309.67,33,2024-04-07,2024-04-30,18,Promotion,9.38
279373,4.99,1,2024-04-16,2024-04-16,1,Promotion,4.99
279374,39.96,4,2024-04-03,2024-04-03,1,Gold,9.99
279418,14.97,3,2024-03-24,2024-03-27,3,Promotion,4.99
279432,4.99,1,2024-03-01,2024-03-01,1,Promotion,4.99
279443,54.89,11,2024-03-21,2024-04-29,11,Promotion,4.99
279467,4.99,1,2024-03-18,2024-03-18,1,Promotion,4.99
279470,9.98,2,2024-03-01,2024-04-30,2,Promotion,4.99
279523,4.99,1,2024-04-06,2024-04-06,1,Promotion,4.99
279533,9.99,1,2024-03-09,2024-03-09,1,Promotion,9.99
279550,19.96,4,2024-03-26,2024-04-09,4,Promotion,4.99
279558,49.900000000000006,10,2024-03-17,2024-04-29,10,Remove Ads,4.99
279568,9.98,2,2024-03-01,2024-03-02,2,Gold,4.99
279577,9.98,2,2024-03-08,2024-04-10,2,Gold,4.99
279670,19.98,2,2024-03-14,2024-04-26,2,Promotion,9.99
279693,9.98,2,2024-03-29,2024-03-31,2,Promotion,4.99
279714,9.98,2,2024-03-09,2024-03-23,2,Promotion,4.99
279745,24.950000000000003,5,2024-03-01,2024-04-09,5,Promotion,4.99
279753,9.98,2,2024-04-10,2024-04-16,2,Promotion,4.99
279764,14.97,3,2024-04-09,2024-04-15,3,Promotion,4.99
279809,4.99,1,2024-03-06,2024-03-06,1,Promotion,4.99
279846,19.97,3,2024-04-21,2024-04-24,3,Promotion,6.66
279889,9.98,2,2024-04-10,2024-04-12,2,Gold,4.99
279902,4.99,1,2024-03-21,2024-03-21,1,Promotion,4.99
280009,4.99,1,2024-03-29,2024-03-29,1,Promotion,4.99
280034,9.98,2,2024-03-31,2024-03-31,1,Gold,4.99
280234,9.98,2,2024-04-07,2024-04-14,2,Remove Ads,4.99
280290,14.97,3,2024-03-10,2024-03-24,2,Gold,4.99
280294,9.98,2,2024-04-03,2024-04-10,2,Remove Ads,4.99
280314,4.99,1,2024-04-05,2024-04-05,1,Promotion,4.99
280323,44.92,8,2024-03-16,2024-04-17,4,Gold,5.62
280354,14.97,3,2024-03-25,2024-03-31,3,Promotion,4.99
280444,14.97,3,2024-04-12,2024-04-23,3,Promotion,4.99
280476,4.99,1,2024-04-22,2024-04-22,1,Promotion,4.99
280490,9.98,2,2024-03-05,2024-03-11,2,Promotion,4.99
280499,4.99,1,2024-03-09,2024-03-09,1,Promotion,4.99
280506,29.94,6,2024-03-06,2024-03-07,2,Gold,4.99
280522,4.99,1,2024-03-10,2024-03-10,1,Gold,4.99
