user_id,acquisition_date,last_active_date,platform_used,total_active_days,total_activity_days
272393,2024-03-13,2024-05-01,android,33,50
272394,2024-03-29,2024-04-19,android,22,22
272395,2024-04-02,2024-04-21,ios,20,20
272396,2024-04-15,2024-04-30,android,13,16
272397,2024-03-01,2024-03-27,android,26,27
272401,2024-03-14,2024-04-30,android,42,48
272402,2024-04-13,2024-05-01,ios,19,19
272403,2024-04-06,2024-04-28,android,12,23
272404,2024-03-03,2024-03-19,android,12,17
272405,2024-03-29,2024-05-01,android,31,34
272406,2024-03-25,2024-04-24,android,20,31
272407,2024-03-14,2024-04-29,ios,40,47
272409,2024-03-01,2024-03-23,android,7,23
272410,2024-03-01,2024-04-29,android,52,60
272412,2024-03-24,2024-04-28,android,23,36
272413,2024-03-14,2024-03-18,android,3,5
272415,2024-03-20,2024-03-29,android,9,10
272416,2024-03-23,2024-04-11,android,18,20
272419,2024-03-04,2024-04-08,ios,14,36
272420,2024-03-17,2024-03-21,android,5,5
272422,2024-03-20,2024-05-01,android,38,43
272423,2024-03-01,2024-04-30,android,40,61
272424,2024-03-21,2024-05-01,android,37,42
272425,2024-03-01,2024-04-28,android,53,59
272428,2024-03-19,2024-04-16,android,24,29
272429,2024-03-16,2024-03-27,android,9,12
272430,2024-03-29,2024-04-06,android,9,9
272431,2024-03-10,2024-05-01,android,11,53
272433,2024-04-18,2024-05-01,ios,7,14
272434,2024-04-18,2024-04-19,android,2,2
272435,2024-04-11,2024-04-30,android,14,20
272437,2024-03-02,2024-04-28,android,6,58
272438,2024-03-12,2024-05-01,android,13,51
272439,2024-03-09,2024-03-12,android,4,4
272440,2024-03-10,2024-03-28,android,10,19
272441,2024-03-03,2024-05-01,ios,29,60
272442,2024-04-08,2024-05-01,android,20,24
272443,2024-04-12,2024-05-01,android,16,20
272444,2024-03-18,2024-05-01,android,43,45
272445,2024-03-23,2024-05-01,android,28,40
272446,2024-03-01,2024-05-01,android,57,62
272447,2024-04-16,2024-04-26,android,9,11
272448,2024-04-21,2024-04-30,android,8,10
272449,2024-03-10,2024-03-22,android,9,13
272451,2024-03-28,2024-04-19,android,13,23
272452,2024-03-02,2024-04-27,android,42,57
272454,2024-03-01,2024-03-22,android,22,22
272455,2024-03-23,2024-04-11,android,12,20
272456,2024-03-26,2024-04-06,android,6,12
272457,2024-03-28,2024-04-30,android,25,34
272458,2024-03-13,2024-04-05,android,17,24
272459,2024-03-07,2024-05-01,android,43,56
272460,2024-03-17,2024-04-21,android,7,36
272462,2024-03-05,2024-05-01,android,35,58
272463,2024-03-02,2024-04-27,android,39,57
272465,2024-03-04,2024-04-08,android,11,36
272469,2024-03-05,2024-04-28,android,28,55
272470,2024-03-16,2024-04-07,android,21,23
272471,2024-03-02,2024-03-28,android,18,27
272472,2024-03-09,2024-03-14,android,6,6
272474,2024-03-01,2024-03-05,android,4,5
272475,2024-04-14,2024-05-01,android,18,18
272476,2024-03-12,2024-04-23,android,29,43
272477,2024-03-01,2024-05-01,ios,62,62
272478,2024-04-21,2024-04-29,android,9,9
272479,2024-03-01,2024-05-01,android,61,62
272480,2024-04-16,2024-05-01,android,16,16
272484,2024-03-01,2024-04-12,android,33,43
272487,2024-04-18,2024-05-01,android,13,14
272489,2024-04-04,2024-05-01,android,22,28
272490,2024-03-01,2024-03-28,android,17,28
272491,2024-03-01,2024-05-01,ios,59,62
272492,2024-03-25,2024-04-22,android,21,29
272493,2024-03-26,2024-05-01,android,37,37
272494,2024-03-24,2024-04-17,android,11,25
272496,2024-03-14,2024-04-12,android,21,30
272497,2024-03-04,2024-04-23,android,4,51
272498,2024-03-13,2024-05-01,android,46,50
272499,2024-04-18,2024-04-24,android,5,7
272500,2024-03-19,2024-03-26,ios,8,8
272502,2024-03-01,2024-03-23,android,6,23
272503,2024-03-25,2024-04-08,android,15,15
272504,2024-03-01,2024-03-25,ios,17,25
272505,2024-03-01,2024-05-01,android,61,62
272506,2024-03-01,2024-04-13,ios,17,44
272507,2024-03-13,2024-03-27,android,7,15
